month,origin_state,destination_state,weighted_transition_count
2019-02,occ22_05,occ22_01,5494.5649
2019-02,occ22_05,occ22_02,4082.2387
2019-02,occ22_05,occ22_05,976227.3447
2019-02,occ22_05,occ22_08,9447.7218
2019-02,occ22_05,occ22_09,1627.5401
2019-02,occ22_05,occ22_11,1412.7919
2019-02,occ22_05,occ22_15,331.5351
2019-02,occ22_05,occ22_16,1438.5182
2019-02,occ22_05,occ22_20,309.8523
2019-02,occ22_05,occ22_21,7394.8022
2019-02,occ22_05,unemployed,9718.9525
2019-02,occ22_06,nilf,45776.0132
2019-02,occ22_06,occ22_01,18981.8166
2019-02,occ22_06,occ22_02,13410.312100000001
2019-02,occ22_06,occ22_03,2867.7145
2019-02,occ22_06,occ22_05,1580.2569
2019-02,occ22_06,occ22_06,1853926.067
2019-02,occ22_06,occ22_07,2267.2145
2019-02,occ22_06,occ22_08,3979.9386000000004
2019-02,occ22_06,occ22_10,9554.2085
2019-02,occ22_06,occ22_11,9391.5557
2019-02,occ22_06,occ22_12,1859.3278
2019-02,occ22_06,occ22_13,3529.4164
2019-02,occ22_06,occ22_14,1730.2779
2019-02,occ22_06,occ22_15,18604.2929
2019-02,occ22_06,occ22_16,10095.1806
2019-02,occ22_06,occ22_17,9516.8392
2019-02,occ22_06,occ22_22,686.5487
2019-02,occ22_06,unemployed,1701.6299
2019-02,occ22_07,nilf,21029.6529
2019-02,occ22_07,occ22_01,7621.271000000001
2019-02,occ22_07,occ22_07,1270009.7414
2019-02,occ22_07,occ22_08,7851.1259
2019-02,occ22_07,occ22_09,4889.9416
2019-02,occ22_07,occ22_11,3523.2627
2019-02,occ22_07,occ22_16,872.2005999999999
2019-02,occ22_07,occ22_17,12951.7835
2019-02,occ22_07,unemployed,4307.7491
2019-02,occ22_08,nilf,157812.9906
2019-02,occ22_08,occ22_01,28685.3652
2019-02,occ22_08,occ22_02,25688.8141
2019-02,occ22_08,occ22_03,9432.6845
2019-02,occ22_08,occ22_04,2057.2238
2019-02,occ22_08,occ22_05,8360.3227
2019-02,occ22_08,occ22_06,14611.2445
2019-02,occ22_08,occ22_08,6579274.0042
2019-02,occ22_08,occ22_09,4868.0716
2019-02,occ22_08,occ22_10,12268.4531
2019-02,occ22_08,occ22_12,2284.979
